Ref_Date,GEO,STAT,SUMMARY,Value
2014,Canada,Average expenditure per household,Grapes (fresh),49
2015,Canada,Average expenditure per household,Grapes (fresh),52
2016,Canada,Average expenditure per household,Grapes (fresh),53
2010,Canada,Average expenditure per household,Peaches and nectarines (fresh),14
2011,Canada,Average expenditure per household,Peaches and nectarines (fresh),13
2012,Canada,Average expenditure per household,Peaches and nectarines (fresh),15
2013,Canada,Average expenditure per household,Peaches and nectarines (fresh),14
2014,Canada,Average expenditure per household,Peaches and nectarines (fresh),23
2015,Canada,Average expenditure per household,Peaches and nectarines (fresh),15
2016,Canada,Average expenditure per household,Peaches and nectarines (fresh),20
2010,Canada,Average expenditure per household,Peaches (fresh),8
2011,Canada,Average expenditure per household,Peaches (fresh),8
2012,Canada,Average expenditure per household,Peaches (fresh),9
2013,Canada,Average expenditure per household,Peaches (fresh),9
2014,Canada,Average expenditure per household,Peaches (fresh),12
2015,Canada,Average expenditure per household,Peaches (fresh),10
2016,Canada,Average expenditure per household,Peaches (fresh),9
2010,Canada,Average expenditure per household,Nectarines (fresh),6
2011,Canada,Average expenditure per household,Nectarines (fresh),5
2012,Canada,Average expenditure per household,Nectarines (fresh),6
2013,Canada,Average expenditure per household,Nectarines (fresh),5
2014,Canada,Average expenditure per household,Nectarines (fresh),11
2015,Canada,Average expenditure per household,Nectarines (fresh),5
2016,Canada,Average expenditure per household,Nectarines (fresh),11
2010,Canada,Average expenditure per household,Pears (fresh),13
2011,Canada,Average expenditure per household,Pears (fresh),12
2012,Canada,Average expenditure per household,Pears (fresh),14
2013,Canada,Average expenditure per household,Pears (fresh),13
2014,Canada,Average expenditure per household,Pears (fresh),15
2015,Canada,Average expenditure per household,Pears (fresh),18
2016,Canada,Average expenditure per household,Pears (fresh),17
2010,Canada,Average expenditure per household,Berries (fresh),97
2011,Canada,Average expenditure per household,Berries (fresh),96
2012,Canada,Average expenditure per household,Berries (fresh),108
2013,Canada,Average expenditure per household,Berries (fresh),105
2014,Canada,Average expenditure per household,Berries (fresh),120
2015,Canada,Average expenditure per household,Berries (fresh),105
2016,Canada,Average expenditure per household,Berries (fresh),117
2010,Canada,Average expenditure per household,Strawberries (fresh),37
2011,Canada,Average expenditure per household,Strawberries (fresh),32
2012,Canada,Average expenditure per household,Strawberries (fresh),41
2013,Canada,Average expenditure per household,Strawberries (fresh),38
2014,Canada,Average expenditure per household,Strawberries (fresh),38
2015,Canada,Average expenditure per household,Strawberries (fresh),39
2016,Canada,Average expenditure per household,Strawberries (fresh),42
2010,Canada,Average expenditure per household,Other berries (fresh),60
2011,Canada,Average expenditure per household,Other berries (fresh),63
2012,Canada,Average expenditure per household,Other berries (fresh),67
2013,Canada,Average expenditure per household,Other berries (fresh),67
2014,Canada,Average expenditure per household,Other berries (fresh),82
2015,Canada,Average expenditure per household,Other berries (fresh),66
2016,Canada,Average expenditure per household,Other berries (fresh),74
2010,Canada,Average expenditure per household,Citrus fruit (fresh),62
2011,Canada,Average expenditure per household,Citrus fruit (fresh),60
2012,Canada,Average expenditure per household,Citrus fruit (fresh),57
2013,Canada,Average expenditure per household,Citrus fruit (fresh),66
2014,Canada,Average expenditure per household,Citrus fruit (fresh),72
2015,Canada,Average expenditure per household,Citrus fruit (fresh),81
2016,Canada,Average expenditure per household,Citrus fruit (fresh),80
2010,Canada,Average expenditure per household,Other fruit (fresh),76
2011,Canada,Average expenditure per household,Other fruit (fresh),71
2012,Canada,Average expenditure per household,Other fruit (fresh),64
2013,Canada,Average expenditure per household,Other fruit (fresh),71
2014,Canada,Average expenditure per household,Other fruit (fresh),64
2015,Canada,Average expenditure per household,Other fruit (fresh),74
2016,Canada,Average expenditure per household,Other fruit (fresh),83
2010,Canada,Average expenditure per household,Preserved fruit and fruit preparations,232
2011,Canada,Average expenditure per household,Preserved fruit and fruit preparations,206
2012,Canada,Average expenditure per household,Preserved fruit and fruit preparations,208
2013,Canada,Average expenditure per household,Preserved fruit and fruit preparations,191
2014,Canada,Average expenditure per household,Preserved fruit and fruit preparations,173
2015,Canada,Average expenditure per household,Preserved fruit and fruit preparations,187
2016,Canada,Average expenditure per household,Preserved fruit and fruit preparations,203
2010,Canada,Average expenditure per household,Fruit juice,121
2011,Canada,Average expenditure per household,Fruit juice,108
2012,Canada,Average expenditure per household,Fruit juice,107
2013,Canada,Average expenditure per household,Fruit juice,105
2014,Canada,Average expenditure per household,Fruit juice,90
2015,Canada,Average expenditure per household,Fruit juice,93
2016,Canada,Average expenditure per household,Fruit juice,97
2010,Canada,Average expenditure per household,Ready-to-drink citrus juice,51
2011,Canada,Average expenditure per household,Ready-to-drink citrus juice,50
2012,Canada,Average expenditure per household,Ready-to-drink citrus juice,49
2013,Canada,Average expenditure per household,Ready-to-drink citrus juice,50
2014,Canada,Average expenditure per household,Ready-to-drink citrus juice,38
2015,Canada,Average expenditure per household,Ready-to-drink citrus juice,40
2016,Canada,Average expenditure per household,Ready-to-drink citrus juice,40
2010,Canada,Average expenditure per household,Other ready-to-drink fruit juices,66
2011,Canada,Average expenditure per household,Other ready-to-drink fruit juices,56
2012,Canada,Average expenditure per household,Other ready-to-drink fruit juices,58
2013,Canada,Average expenditure per household,Other ready-to-drink fruit juices,53
2014,Canada,Average expenditure per household,Other ready-to-drink fruit juices,50
2015,Canada,Average expenditure per household,Other ready-to-drink fruit juices,51
2016,Canada,Average expenditure per household,Other ready-to-drink fruit juices,56
2010,Canada,Average expenditure per household,Concentrated fruit juice (frozen),4
2011,Canada,Average expenditure per household,Concentrated fruit juice (frozen),2
2012,Canada,Average expenditure per household,Concentrated fruit juice (frozen),1
2013,Canada,Average expenditure per household,Concentrated fruit juice (frozen),F
2014,Canada,Average expenditure per household,Concentrated fruit juice (frozen),2
2015,Canada,Average expenditure per household,Concentrated fruit juice (frozen),2
2016,Canada,Average expenditure per household,Concentrated fruit juice (frozen),1
2010,Canada,Average expenditure per household,Other preserved fruit and fruit preparations,111
2011,Canada,Average expenditure per household,Other preserved fruit and fruit preparations,99
2012,Canada,Average expenditure per household,Other preserved fruit and fruit preparations,101
2013,Canada,Average expenditure per household,Other preserved fruit and fruit preparations,85
2014,Canada,Average expenditure per household,Other preserved fruit and fruit preparations,82
2015,Canada,Average expenditure per household,Other preserved fruit and fruit preparations,94
2016,Canada,Average expenditure per household,Other preserved fruit and fruit preparations,106
2010,Canada,Average expenditure per household,Preserved fruit (including canned fruit pie filling and frozen fruit),38
2011,Canada,Average expenditure per household,Preserved fruit (including canned fruit pie filling and frozen fruit),39
2012,Canada,Average expenditure per household,Preserved fruit (including canned fruit pie filling and frozen fruit),30
2013,Canada,Average expenditure per household,Preserved fruit (including canned fruit pie filling and frozen fruit),33
2014,Canada,Average expenditure per household,Preserved fruit (including canned fruit pie filling and frozen fruit),31
2015,Canada,Average expenditure per household,Preserved fruit (including canned fruit pie filling and frozen fruit),37
2016,Canada,Average expenditure per household,Preserved fruit (including canned fruit pie filling and frozen fruit),48
2010,Canada,Average expenditure per household,Canned or bottled fruit,28
2011,Canada,Average expenditure per household,Canned or bottled fruit,23
2012,Canada,Average expenditure per household,Canned or bottled fruit,19
2013,Canada,Average expenditure per household,Canned or bottled fruit,20
2014,Canada,Average expenditure per household,Canned or bottled fruit,18
2015,Canada,Average expenditure per household,Canned or bottled fruit,18
2016,Canada,Average expenditure per household,Canned or bottled fruit,21
2010,Canada,Average expenditure per household,Fruit pie filling,2
2011,Canada,Average expenditure per household,Fruit pie filling,1
2012,Canada,Average expenditure per household,Fruit pie filling,2
2013,Canada,Average expenditure per household,Fruit pie filling,1
2014,Canada,Average expenditure per household,Fruit pie filling,1
2015,Canada,Average expenditure per household,Fruit pie filling,1
2016,Canada,Average expenditure per household,Fruit pie filling,2
2010,Canada,Average expenditure per household,Frozen fruit,8
2011,Canada,Average expenditure per household,Frozen fruit,14
2012,Canada,Average expenditure per household,Frozen fruit,9
2013,Canada,Average expenditure per household,Frozen fruit,11
2014,Canada,Average expenditure per household,Frozen fruit,12
2015,Canada,Average expenditure per household,Frozen fruit,19
2016,Canada,Average expenditure per household,Frozen fruit,25
2010,Canada,Average expenditure per household,Dried or other preserved fruit,20
2011,Canada,Average expenditure per household,Dried or other preserved fruit,18
2012,Canada,Average expenditure per household,Dried or other preserved fruit,30
2013,Canada,Average expenditure per household,Dried or other preserved fruit,17
2014,Canada,Average expenditure per household,Dried or other preserved fruit,17
2015,Canada,Average expenditure per household,Dried or other preserved fruit,22
2016,Canada,Average expenditure per household,Dried or other preserved fruit,23
2010,Canada,Average expenditure per household,Raisins,6
2011,Canada,Average expenditure per household,Raisins,5
2012,Canada,Average expenditure per household,Raisins,5
2013,Canada,Average expenditure per household,Raisins,5
2014,Canada,Average expenditure per household,Raisins,5
2015,Canada,Average expenditure per household,Raisins,5
2016,Canada,Average expenditure per household,Raisins,6
2010,Canada,Average expenditure per household,Other dried or preserved fruit,14
2011,Canada,Average expenditure per household,Other dried or preserved fruit,13
2012,Canada,Average expenditure per household,Other dried or preserved fruit,25
2013,Canada,Average expenditure per household,Other dried or preserved fruit,12
2014,Canada,Average expenditure per household,Other dried or preserved fruit,12
2015,Canada,Average expenditure per household,Other dried or preserved fruit,17
2016,Canada,Average expenditure per household,Other dried or preserved fruit,17
2010,Canada,Average expenditure per household,"Jams, jellies, marmalades and similar preserves",19
2011,Canada,Average expenditure per household,"Jams, jellies, marmalades and similar preserves",13
2012,Canada,Average expenditure per household,"Jams, jellies, marmalades and similar preserves",15
2013,Canada,Average expenditure per household,"Jams, jellies, marmalades and similar preserves",11
2014,Canada,Average expenditure per household,"Jams, jellies, marmalades and similar preserves",14
2015,Canada,Average expenditure per household,"Jams, jellies, marmalades and similar preserves",14
2016,Canada,Average expenditure per household,"Jams, jellies, marmalades and similar preserves",14
2010,Canada,Average expenditure per household,"Fruit drinks (canned, bottled or frozen)",34
2011,Canada,Average expenditure per household,"Fruit drinks (canned, bottled or frozen)",28
2012,Canada,Average expenditure per household,"Fruit drinks (canned, bottled or frozen)",26
2013,Canada,Average expenditure per household,"Fruit drinks (canned, bottled or frozen)",24
2014,Canada,Average expenditure per household,"Fruit drinks (canned, bottled or frozen)",21
2015,Canada,Average expenditure per household,"Fruit drinks (canned, bottled or frozen)",20
2016,Canada,Average expenditure per household,"Fruit drinks (canned, bottled or frozen)",21
2010,Canada,Average expenditure per household,Nuts and seeds,65
2011,Canada,Average expenditure per household,Nuts and seeds,66
2012,Canada,Average expenditure per household,Nuts and seeds,68
2013,Canada,Average expenditure per household,Nuts and seeds,76
2014,Canada,Average expenditure per household,Nuts and seeds,81
2015,Canada,Average expenditure per household,Nuts and seeds,96
2016,Canada,Average expenditure per household,Nuts and seeds,85
2010,Canada,Average expenditure per household,Peanuts (shelled or unshelled),8
2011,Canada,Average expenditure per household,Peanuts (shelled or unshelled),8
2012,Canada,Average expenditure per household,Peanuts (shelled or unshelled),8
2013,Canada,Average expenditure per household,Peanuts (shelled or unshelled),10
2014,Canada,Average expenditure per household,Peanuts (shelled or unshelled),11
2015,Canada,Average expenditure per household,Peanuts (shelled or unshelled),11
2016,Canada,Average expenditure per household,Peanuts (shelled or unshelled),13
2010,Canada,Average expenditure per household,Other nuts and seeds,56
2011,Canada,Average expenditure per household,Other nuts and seeds,58
2012,Canada,Average expenditure per household,Other nuts and seeds,60
2013,Canada,Average expenditure per household,Other nuts and seeds,66
2014,Canada,Average expenditure per household,Other nuts and seeds,70
2015,Canada,Average expenditure per household,Other nuts and seeds,84
2016,Canada,Average expenditure per household,Other nuts and seeds,72
2010,Canada,Average expenditure per household,Vegetables and vegetable preparations,616
2011,Canada,Average expenditure per household,Vegetables and vegetable preparations,621
2012,Canada,Average expenditure per household,Vegetables and vegetable preparations,578
2013,Canada,Average expenditure per household,Vegetables and vegetable preparations,652
2014,Canada,Average expenditure per household,Vegetables and vegetable preparations,675
2015,Canada,Average expenditure per household,Vegetables and vegetable preparations,710
2016,Canada,Average expenditure per household,Vegetables and vegetable preparations,718
2010,Canada,Average expenditure per household,Fresh vegetables,442
2011,Canada,Average expenditure per household,Fresh vegetables,459
2012,Canada,Average expenditure per household,Fresh vegetables,422
2013,Canada,Average expenditure per household,Fresh vegetables,497
2014,Canada,Average expenditure per household,Fresh vegetables,515
2015,Canada,Average expenditure per household,Fresh vegetables,537
2016,Canada,Average expenditure per household,Fresh vegetables,551
2010,Canada,Average expenditure per household,Potatoes (except sweet potatoes),49
2011,Canada,Average expenditure per household,Potatoes (except sweet potatoes),51
2012,Canada,Average expenditure per household,Potatoes (except sweet potatoes),46
2013,Canada,Average expenditure per household,Potatoes (except sweet potatoes),48
2014,Canada,Average expenditure per household,Potatoes (except sweet potatoes),48
2015,Canada,Average expenditure per household,Potatoes (except sweet potatoes),43
2016,Canada,Average expenditure per household,Potatoes (except sweet potatoes),46
2010,Canada,Average expenditure per household,Tomatoes (fresh),55
2011,Canada,Average expenditure per household,Tomatoes (fresh),52
2012,Canada,Average expenditure per household,Tomatoes (fresh),49
2013,Canada,Average expenditure per household,Tomatoes (fresh),62
2014,Canada,Average expenditure per household,Tomatoes (fresh),60
2015,Canada,Average expenditure per household,Tomatoes (fresh),60
2016,Canada,Average expenditure per household,Tomatoes (fresh),65
2010,Canada,Average expenditure per household,Lettuce (fresh),33
2011,Canada,Average expenditure per household,Lettuce (fresh),38
2012,Canada,Average expenditure per household,Lettuce (fresh),32
2013,Canada,Average expenditure per household,Lettuce (fresh),36
2014,Canada,Average expenditure per household,Lettuce (fresh),39
2015,Canada,Average expenditure per household,Lettuce (fresh),41
2016,Canada,Average expenditure per household,Lettuce (fresh),42
2010,Canada,Average expenditure per household,Cabbage (fresh),9
2011,Canada,Average expenditure per household,Cabbage (fresh),11
2012,Canada,Average expenditure per household,Cabbage (fresh),11
2013,Canada,Average expenditure per household,Cabbage (fresh),14
2014,Canada,Average expenditure per household,Cabbage (fresh),14
2015,Canada,Average expenditure per household,Cabbage (fresh),16
2016,Canada,Average expenditure per household,Cabbage (fresh),19
2010,Canada,Average expenditure per household,Carrots (fresh),22
2011,Canada,Average expenditure per household,Carrots (fresh),23
2012,Canada,Average expenditure per household,Carrots (fresh),24
2013,Canada,Average expenditure per household,Carrots (fresh),26
2014,Canada,Average expenditure per household,Carrots (fresh),27
2015,Canada,Average expenditure per household,Carrots (fresh),27
2016,Canada,Average expenditure per household,Carrots (fresh),26
2010,Canada,Average expenditure per household,Onions (fresh),37
2011,Canada,Average expenditure per household,Onions (fresh),33
2012,Canada,Average expenditure per household,Onions (fresh),33
2013,Canada,Average expenditure per household,Onions (fresh),38
2014,Canada,Average expenditure per household,Onions (fresh),42
2015,Canada,Average expenditure per household,Onions (fresh),39
2016,Canada,Average expenditure per household,Onions (fresh),48
2010,Canada,Average expenditure per household,Celery (fresh),11
2011,Canada,Average expenditure per household,Celery (fresh),12
2012,Canada,Average expenditure per household,Celery (fresh),12
2013,Canada,Average expenditure per household,Celery (fresh),12
2014,Canada,Average expenditure per household,Celery (fresh),11
2015,Canada,Average expenditure per household,Celery (fresh),13
2016,Canada,Average expenditure per household,Celery (fresh),13
2010,Canada,Average expenditure per household,Cucumber (fresh),24
2011,Canada,Average expenditure per household,Cucumber (fresh),27
2012,Canada,Average expenditure per household,Cucumber (fresh),23
2013,Canada,Average expenditure per household,Cucumber (fresh),29
2014,Canada,Average expenditure per household,Cucumber (fresh),28
2015,Canada,Average expenditure per household,Cucumber (fresh),28
2016,Canada,Average expenditure per household,Cucumber (fresh),30
2010,Canada,Average expenditure per household,Mushrooms (fresh),26
2011,Canada,Average expenditure per household,Mushrooms (fresh),28
2012,Canada,Average expenditure per household,Mushrooms (fresh),26
2013,Canada,Average expenditure per household,Mushrooms (fresh),28
2014,Canada,Average expenditure per household,Mushrooms (fresh),29
2015,Canada,Average expenditure per household,Mushrooms (fresh),27
2016,Canada,Average expenditure per household,Mushrooms (fresh),30
2010,Canada,Average expenditure per household,Broccoli (fresh),16
2011,Canada,Average expenditure per household,Broccoli (fresh),18
2012,Canada,Average expenditure per household,Broccoli (fresh),17
2013,Canada,Average expenditure per household,Broccoli (fresh),17
2014,Canada,Average expenditure per household,Broccoli (fresh),19
2015,Canada,Average expenditure per household,Broccoli (fresh),21
2016,Canada,Average expenditure per household,Broccoli (fresh),20
2010,Canada,Average expenditure per household,Peppers (fresh),35
2011,Canada,Average expenditure per household,Peppers (fresh),39
2012,Canada,Average expenditure per household,Peppers (fresh),36
2013,Canada,Average expenditure per household,Peppers (fresh),41
2014,Canada,Average expenditure per household,Peppers (fresh),47
2015,Canada,Average expenditure per household,Peppers (fresh),45
2016,Canada,Average expenditure per household,Peppers (fresh),50
2010,Canada,Average expenditure per household,Other vegetables (fresh),125
2011,Canada,Average expenditure per household,Other vegetables (fresh),127
2012,Canada,Average expenditure per household,Other vegetables (fresh),115
2013,Canada,Average expenditure per household,Other vegetables (fresh),145
2014,Canada,Average expenditure per household,Other vegetables (fresh),151
2015,Canada,Average expenditure per household,Other vegetables (fresh),176
2016,Canada,Average expenditure per household,Other vegetables (fresh),163
2010,Canada,Average expenditure per household,Cauliflower (fresh),8
2011,Canada,Average expenditure per household,Cauliflower (fresh),8
2012,Canada,Average expenditure per household,Cauliflower (fresh),8
2013,Canada,Average expenditure per household,Cauliflower (fresh),9
2014,Canada,Average expenditure per household,Cauliflower (fresh),9
2015,Canada,Average expenditure per household,Cauliflower (fresh),12
2016,Canada,Average expenditure per household,Cauliflower (fresh),10
